시간|이름|ID|타입|이동체크기(m)|x좌표|y좌표|이동속도(knot)|방향각|이동면적(m2)|전체면적(m2)|MPI
2021-05-09 23:48:22|아라곤1호|111|정사각형|8.0|216.01979656976874|656.193269193301|50.0|88.0|5637.824000000001|1000|5.63782400000000105677600004128180444240570068359375
2021-05-09 23:48:23|아라곤1호|111|정사각형|8.0|216.46867246333568|681.9093519127234|50.0|89.0|5843.584000000002|1000|5.8435840000000016658532331348396837711334228515625
2021-05-09 23:48:24|아라곤1호|111|정사각형|8.0|216.46867246333568|707.6293519127235|50.0|90.0|6049.344000000002|1000|6.04934400000000227493046622839756309986114501953125
2021-05-09 23:48:25|아라곤1호|111|정사각형|8.0|216.46867246333568|733.3493519127235|50.0|90.0|6255.104000000002|1000|6.25510400000000199582927962183021008968353271484375
2021-05-09 23:48:26|아라곤1호|111|정사각형|8.0|216.46867246333568|759.0693519127235|50.0|90.0|6460.864000000002|1000|6.4608640000000026049065127153880894184112548828125
2021-05-09 23:48:27|아라곤1호|111|정사각형|8.0|216.46867246333568|784.7893519127235|50.0|90.0|6666.6240000000025|1000|6.666624000000002325805326108820736408233642578125
2021-05-09 23:48:28|아라곤1호|111|정사각형|8.0|216.46867246333568|810.5093519127236|50.0|90.0|6872.384000000003|1000|6.87238400000000293488255920237861573696136474609375
2021-05-09 23:48:29|아라곤1호|111|정사각형|8.0|216.46867246333568|836.2293519127236|50.0|90.0|7078.144000000003|1000|7.07814400000000265578137259581126272678375244140625
2021-05-09 23:48:30|아라곤1호|111|정사각형|8.0|216.46867246333568|861.9493519127236|50.0|90.0|7283.904000000003|1000|7.283904000000003264858605689369142055511474609375
2021-05-09 23:48:31|아라곤1호|111|정사각형|8.0|216.46867246333568|887.6693519127236|50.0|90.0|7489.664000000003|1000|7.4896640000000029857574190828017890453338623046875
2021-05-09 23:48:32|아라곤1호|111|정사각형|8.0|216.46867246333568|913.3893519127237|50.0|90.0|7695.424000000004|1000|7.69542400000000359483465217635966837406158447265625
2021-05-09 23:48:33|아라곤1호|111|정사각형|8.0|216.46867246333568|939.1093519127237|50.0|90.0|7901.184000000004|1000|7.901184000000004203911885269917547702789306640625
2021-05-09 23:48:34|아라곤1호|111|정사각형|8.0|216.46867246333568|964.8293519127237|50.0|90.0|8106.944000000004|1000|8.1069440000000039248106986633501946926116943359375
2021-05-09 23:48:35|아라곤1호|111|정사각형|8.0|216.46867246333568|990.5493519127238|50.0|90.0|8312.704000000005|1000|8.3127040000000054220663514570333063602447509765625
2021-05-09 23:48:36|아라곤1호|111|정사각형|8.0|216.46867246333568|1016.2693519127238|50.0|90.0|8518.464000000005|1000|8.518464000000005142965164850465953350067138671875
2021-05-09 23:48:37|아라곤1호|111|정사각형|8.0|216.46867246333568|1041.9893519127238|50.0|90.0|8724.224000000006|1000|8.7242240000000048638639782438986003398895263671875
2021-05-09 23:48:38|아라곤1호|111|정사각형|8.0|216.46867246333568|1067.7093519127238|50.0|90.0|8929.984000000006|1000|8.9299840000000063611196310375817120075225830078125
2021-05-09 23:48:39|아라곤1호|111|정사각형|8.0|216.46867246333568|1093.4293519127239|50.0|90.0|9135.744000000006|1000|9.135744000000006082018444431014358997344970703125
2021-05-09 23:48:40|아라곤1호|111|정사각형|8.0|216.46867246333568|1119.149351912724|50.0|90.0|9341.504000000006|1000|9.3415040000000058029172578244470059871673583984375
2021-05-09 23:48:41|아라곤1호|111|정사각형|8.0|216.46867246333568|1144.869351912724|50.0|90.0|9547.264000000006|1000|9.5472640000000073001729106181301176548004150390625
2021-05-09 23:48:42|아라곤1호|111|정사각형|8.0|216.46867246333568|1170.589351912724|50.0|90.0|9753.024000000007|1000|9.753024000000007021071724011562764644622802734375
2021-05-09 23:48:43|아라곤1호|111|정사각형|8.0|216.46867246333568|1196.309351912724|50.0|90.0|9958.784000000007|1000|9.9587840000000067419705374049954116344451904296875
2021-05-09 23:48:44|아라곤1호|111|정사각형|8.0|216.46867246333568|1222.029351912724|50.0|90.0|10164.544000000007|1000|10.164544000000006462869350798428058624267578125
2021-05-09 23:48:45|아라곤1호|111|정사각형|8.0|216.46867246333568|1247.749351912724|50.0|90.0|10370.304000000007|1000|10.370304000000007960125003592111170291900634765625
2021-05-09 23:48:46|아라곤1호|111|정사각형|8.0|216.46867246333568|1273.469351912724|50.0|90.0|10576.064000000008|1000|10.5760640000000076810238169855438172817230224609375
2021-05-09 23:48:47|아라곤1호|111|정사각형|8.0|216.46867246333568|1299.189351912724|50.0|90.0|10781.824000000008|1000|10.78182400000000740192263037897646427154541015625
2021-05-09 23:48:48|아라곤1호|111|정사각형|8.0|216.46867246333568|1324.909351912724|50.0|90.0|10987.584000000008|1000|10.987584000000008899178283172659575939178466796875
2021-05-09 23:48:49|아라곤1호|111|정사각형|8.0|216.46867246333568|1350.6293519127241|50.0|90.0|11193.344000000008|1000|11.1933440000000086200770965660922229290008544921875
2021-05-09 23:48:50|아라곤1호|111|정사각형|8.0|216.46867246333568|1376.3493519127242|50.0|90.0|11399.104000000008|1000|11.3991040000000083409759099595248699188232421875
2021-05-09 23:48:51|아라곤1호|111|정사각형|8.0|216.46867246333568|1402.0693519127242|50.0|90.0|11604.864000000009|1000|11.6048640000000080618747233529575169086456298828125
2021-05-09 23:48:52|아라곤1호|111|정사각형|8.0|216.46867246333568|1427.7893519127242|50.0|90.0|11810.624000000009|1000|11.8106240000000095591303761466406285762786865234375
2021-05-09 23:48:53|아라곤1호|111|정사각형|8.0|216.46867246333568|1453.5093519127242|50.0|90.0|12016.38400000001|1000|12.01638400000000928002918954007327556610107421875
